Activity,DisplayName
Compliance,Industry Compliance & Infrastructure Upgrade
Cust Escalation,Customer Escalation Management
DevOps Mgmt.,DevOps Management
Functional Testing,Functional Regression Testing
Hardware Migration,DevOps Management
Inst Mgmt.,Installation Validataion
L & D,L&D
Leaves,Leaves
Others,Others
Paid FE,Paid Functional Evolution
Perf Mgmt.,Performance Validation
Pref Mgmt.,Performance Validation
PS & Sales Support,PS & Sales Support
R & D,R&D
Recon Mgmt.,Reconciliation
Release Mgmt.,Release Management
Roadmap FE,Roadmap Functional Evolution
Scrum/Kanban Meetings,Scrum/Kanban Meetings
Stop & Fix,Stop & Fix
Tools,Productivity Tooling
Upgrade Support,Customer Upgrade Support
Billable,PS & Sales Support
Calc_Scrum/Kanban Meetings,Scrum/Kanban Meetings
MN_Scrum/Kanban Meetings,Scrum/Kanban Meetings
IN_Scrum/Kanban Meetings,Scrum/Kanban Meetings
